	ATCT-1G63230.1-1665	ATCol-1G63230.1-1813	ATAN-1G80540.1-1058	ATERI-1G74470.1-1058	ATLER-1G76330.1-1058	ATERI-1G74910.1-1133	ATKYO-1G76010.1-971	ATSHA-1G77500.1-971	ATCT-1G63630.1-923	ATCVI-1G77320.1-971	ATAN-1G80900.1-971	ATCol-1G63630.1-1355	ATCVI-5G26760.1-1515	ATLER-5G26670.1-1515	ATAN-5G26670.1-1515	ATSHA-5G26670.1-1515	ATCol-5G16640.1-2097	ATCT-5G16640.1-2042	ATERI-5G26820.1-1515	ATKYO-5G26600.1-1515	ATAN-1G80660.1-1911	ATCol-1G63400.1-2307	ATERI-1G74680.1-1734	ATLER-1G76540.1-1734	ATCT-1G63400.1-1734	ATAN-1G79760.1-1905	ATKYO-1G74810.1-1905	ATERI-1G73710.1-1905	ATLER-1G75520.1-1902	ATAN-1G79840.1-1905	ATKYO-1G74890.1-1905	ATSHA-1G76458.1-1905	ATCol-1G62590.1-2319	ATCT-1G62590.1-2319	ATCVI-1G76200.1-1905	ATCol-1G63330.1-1715	ATCT-1G63330.1-1914	ATCol-1G62914.1-1848	ATCT-1G62914.1-1575	ATCVI-1G76530.1-1728	ATAN-1G80130.1-1734	ATLER-1G75870.1-1728	ATERI-1G74040.1-1728	ATKYO-1G75190.1-1728	ATSHA-1G76760.1-1728	ATCol-1G62910.1-2194	ATCT-1G62910.1-1902	ATCT-1G62670.1-1895	ATCol-1G62670.1-2567	ATSHA-1G76490.1-1893	ATCVI-1G76280.1-1893	ATLER-1G75600.1-1893	ATSHA-1G76750.1-1890	ATAN-1G79890.1-1893	ATKYO-1G74940.1-1893	ATERI-1G74030.1-1893	ATAN-1G80440.1-1890	ATERI-1G74360.1-1890	ATLER-1G76220.1-1890	ATKYO-1G75560.1-1890	ATSHA-1G77060.1-1890	ATCol-1G63150.1-2421	ATCT-1G63150.1-2184	ATSHA-1G76790.1-1890	ATLER-1G75900.1-1890	ATKYO-1G75220.1-1890	ATERI-1G74070.1-1890	ATCT-1G62930.1-2151	ATAN-1G80160.1-1890	ATCol-1G62930.1-2153	ATCT-1G63320.1-792	ATCol-1G63320.1-695	ATKYO-1G75770.1-648	ATAN-1G80650.1-648	ATERI-1G74580.1-648	ATLER-1G76440.1-648	ATSHA-1G77270.1-648	ATCVI-1G77080.1-1884	ATERI-1G74340.1-1893	ATCVI-1G76860.1-1893	ATKYO-1G75540.1-1893	ATLER-1G76200.1-1893	ATSHA-1G77040.1-1893	ATCT-1G63130.1-2223	ATAN-1G80420.1-1893	ATCol-1G63130.1-2638	ATCol-1G63070.1-1844	ATCT-1G63070.1-1858	ATCVI-1G76790.1-1845	ATERI-1G74270.1-1844	ATAN-1G80360.1-1845	ATKYO-1G75480.1-1845	ATLER-1G76140.1-1845	ATCol-1G63080.1-3243	ATCT-1G63080.1-3186
ATLER-1G75520.1-1902	52.399	52.081	57.808	57.722	57.722	61.346	61.178	61.178	60.485	60.279	60.479	55.758	60.035	60.092	59.746	59.746	57.462	57.462	59.862	59.919	85.086	90.761	91.465	91.465	91.465	99.633	99.633	99.633		96.693	96.693	96.64	97.17	97.013	97.327	97.901	95.186	82.167	82	82.011	81.672	82.011	81.954	81.954	81.724	84.877	84.969	82.073	82.242	82.449	82.606	82.606	84	82.449	82.449	83.605	82.845	82.741	82.741	82.793	82.793	82.742	82.715	80.563	80.459	80.928	81.032	80.875	81.032	80.928	82.386	86.925	87.037	87.191	87.191	87.191	87.191	82.199	82.672	83.038	82.985	82.985	82.933	83.169	82.985	83.091	79.726	78.781	81.093	80.771	81.896	81.896	81.896	80.801	80.801
ATAN-1G79840.1-1905	52.399	52.133	57.981	57.895	57.895	61.26	60.679	60.679	59.747	59.88	59.98	55.337	60.092	60.15	59.804	59.804	57.566	57.566	59.919	59.977	85.296	90.446	91.119	91.119	91.234	96.85	96.85	96.955	96.693		100	99.633	98.008	98.375	97.956	98.426	95.866	82.724	82.5	83.276	82.131	82.471	82.414	82.414	82.184	84.511	84.601	82.966	83.133	83.342	83.552	83.5	84.474	82.606	82.606	83.552	83.473	83.368	83.368	83.421	83.421	83.42	83.394	80.875	81.032	80.771	80.875	80.719	80.875	80.771	82.639	86.925	87.037	87.191	87.191	87.191	87.191	83.403	82.359	82.724	82.724	82.724	82.672	82.856	82.672	82.778	79.726	78.781	80.932	80.771	81.95	81.95	81.95	80.853	80.853
ATKYO-1G74890.1-1905	52.399	52.133	57.981	57.895	57.895	61.26	60.679	60.679	59.747	59.88	59.98	55.337	60.092	60.15	59.804	59.804	57.566	57.566	59.919	59.977	85.296	90.446	91.119	91.119	91.234	96.85	96.85	96.955	96.693	100		99.633	98.008	98.375	97.956	98.426	95.866	82.724	82.5	83.276	82.131	82.471	82.414	82.414	82.184	84.511	84.601	82.966	83.133	83.342	83.552	83.5	84.474	82.606	82.606	83.552	83.473	83.368	83.368	83.421	83.421	83.42	83.394	80.875	81.032	80.771	80.875	80.719	80.875	80.771	82.639	86.925	87.037	87.191	87.191	87.191	87.191	83.403	82.359	82.724	82.724	82.724	82.672	82.856	82.672	82.778	79.726	78.781	80.932	80.771	81.95	81.95	81.95	80.853	80.853
ATSHA-1G76458.1-1905	52.399	52.133	57.895	57.808	57.808	61.173	60.579	60.579	59.642	59.78	59.88	55.267	60.035	60.092	59.746	59.746	57.514	57.514	59.862	59.919	85.034	90.184	90.83	90.83	90.946	96.798	96.798	96.903	96.64	99.633	99.633		97.956	98.323	98.008	98.367	95.814	82.477	82.25	83.046	81.901	82.241	82.184	82.184	81.954	84.354	84.444	82.913	83.08	83.29	83.5	83.447	84.316	82.449	82.449	83.395	83.368	83.264	83.264	83.316	83.316	83.316	83.29	80.719	80.875	80.615	80.615	80.563	80.719	80.615	82.26	86.782	86.883	87.037	87.037	87.037	87.037	83.141	82.203	82.463	82.463	82.463	82.411	82.596	82.411	82.518	79.674	78.676	80.986	80.825	81.789	81.789	81.789	80.697	80.697
ATCol-1G62590.1-2319	52.291	51.129	57.808	57.722	57.722	61.087	60.379	60.379	59.536	59.581	59.681	55.197	60.092	60.15	59.804	59.804	51.429	51.667	59.919	59.977	85.348	82.958	91.077	91.077	91.077	97.327	97.327	97.327	97.17	98.008	98.008	97.956		99.483	99.265	99.009	96.25	80.901	82.25	82.874	81.901	82.184	82.126	82.126	81.897	78.197	84.864	82.774	73.812	83.15	83.307	83.307	84.49	82.1	82.1	83.255	83.682	83.577	83.577	83.63	83.63	71.246	75.45	80.947	80.947	80.635	80.635	73.246	80.739	73.315	82.386	86.782	86.883	87.037	87.037	87.037	87.037	82.984	82.411	82.672	82.62	82.62	82.568	75.488	82.62	70.765	80.042	78.99	81.253	81.093	82.057	82.057	82.057	69.199	69.158
ATCT-1G62590.1-2319	52.426	51.154	57.679	57.593	57.593	60.958	60.429	60.429	59.589	59.631	59.731	55.232	60.15	60.208	59.862	59.862	51.471	51.711	59.977	60.035	85.243	82.781	90.846	90.846	90.846	97.17	97.17	97.17	97.013	98.375	98.375	98.323	99.483		98.741	98.776	96.146	80.961	82.313	82.931	81.901	82.241	82.184	82.184	81.954	78.013	84.654	82.826	73.853	83.202	83.412	83.36	84.437	82.257	82.257	83.255	83.525	83.421	83.421	83.473	83.473	71.123	75.315	80.739	80.739	80.531	80.531	73.156	80.635	73.226	82.386	86.782	86.883	87.037	87.037	87.037	87.037	82.984	82.359	82.62	82.568	82.568	82.516	75.442	82.568	70.724	79.779	78.728	81.2	81.039	82.003	82.003	82.003	69.199	69.158
ATCVI-1G76200.1-1905	52.291	52.081	57.722	57.636	57.636	60.828	60.18	60.18	59.326	59.381	59.481	55.056	59.919	59.977	59.631	59.631	57.358	57.358	59.746	59.804	85.243	90.723	91.422	91.422	91.422	97.484	97.484	97.484	97.327	97.956	97.956	98.008	99.265	98.741		99.475	96.703	82.043	81.875	82.701	81.501	81.839	81.782	81.782	81.552	84.72	84.811	82.459	82.627	82.835	82.992	82.992	84.122	81.837	81.837	82.94	83.839	83.734	83.734	83.787	83.787	83.785	83.76	80.719	80.771	80.406	80.406	80.354	80.511	80.406	82.26	86.782	86.883	87.037	87.037	87.037	87.037	82.932	82.098	82.359	82.307	82.307	82.255	82.492	82.307	82.414	79.516	78.467	80.878	80.718	81.682	81.682	81.682	80.489	80.489
ATCol-1G63330.1-1715	54.804	54.371	57.636	57.55	57.55	60.742	60.08	60.08	59.22	59.281	59.381	54.986	61.28	61.28	60.957	60.957	58.659	58.659	61.086	61.151	86.472	90.554	91.321	91.321	91.321	98.076	98.076	98.076	97.901	98.426	98.426	98.367	99.009	98.776	99.475		100	86.963	86.258	86.786	85.888	85.888	85.824	85.824	85.568	86.764	86.735	85.627	85.773	85.889	86.064	86.122	87.405	85.015	85.015	86.297	86.531	86.472	86.472	86.472	86.472	86.647	86.472	85.773	85.831	85.481	85.539	85.364	85.539	85.423	82.26	86.925	87.037	87.191	87.191	87.191	87.191	87.988	86.414	86.822	86.764	86.764	86.706	86.968	86.764	86.939	84.45	83.372	84.665	84.49	85.656	85.656	85.656	86.064	86.122
ATCT-1G63330.1-1914	52.075	51.603	57.636	57.55	57.55	60.742	60.08	60.08	59.22	59.281	59.381	54.986	59.689	59.746	59.4	59.4	56.774	56.774	59.516	59.573	87.023	88.542	89.08	89.08	89.08	95.343	95.343	95.343	95.186	95.866	95.866	95.814	96.25	96.146	96.703	100		81.773	81.813	82.644	81.501	81.839	81.782	81.782	81.552	84.219	84.654	82.407	82.083	82.73	82.94	82.992	83.622	81.785	81.785	82.94	83.787	83.682	83.682	83.734	83.734	83.55	83.708	80.99	81.042	80.521	80.781	80.625	80.781	80.677	82.26	86.925	87.037	87.191	87.191	87.191	87.191	83.089	82.046	82.411	82.359	82.359	82.307	82.367	82.307	82.237	80.358	79.304	81.2	81.039	82.11	82.11	82.11	80.735	80.735
ATCol-1G62914.1-1848	56.516	53.815	59.738	59.644	59.644	63.858	63.008	63.008	62.296	62.02	62.239	61.518	59.589	59.714	59.34	59.34	56.489	58.158	59.465	59.527	85.387	83.21	87.616	87.616	87.616	82.415	82.415	82.353	82.167	82.724	82.724	82.477	80.901	80.961	82.043	86.963	81.773		99.244	96.285	98.369	99.622	99.937	99.937	99.685	81.007	86.087	85.861	81.577	86.125	86	86.063	92.875	89.375	89.375	87.938	81.25	81.126	81.126	81.188	81.188	76.149	81.223	80.677	80.738	81.231	81.169	81.2	81.292	81.292	83.165	91.5	91.477	91.761	91.761	91.761	91.761	89.49	83.58	83.951	84.012	84.012	84.074	79.692	83.889	76.375	78.835	78.154	81.15	80.831	83.962	84.026	84.026	82.214	82.214
ATCT-1G62914.1-1575	56.087	55.093	59.738	59.644	59.644	63.858	63.008	63.008	62.296	62.02	62.239	61.518	59.029	59.153	58.78	58.78	58.685	58.685	58.904	58.966	85.188	87.5	87.5	87.5	87.5	82.25	82.25	82.188	82	82.5	82.5	82.25	82.25	82.313	81.875	86.258	81.813	99.244		95.529	97.859	98.866	99.181	99.181	98.929	85.813	85.813	85.449	85.732	85.732	85.607	85.732	92.646	89.001	89.001	87.681	80.709	80.585	80.585	80.647	80.647	80.398	80.772	80.721	80.784	81.281	81.219	81.25	81.343	81.343	83.165	91.5	91.477	91.761	91.761	91.761	91.761	88.847	83.116	83.489	83.551	83.551	83.613	83.706	83.426	83.551	78.272	77.595	80.383	80.064	83.195	83.259	83.259	83.24	83.24
ATCVI-1G76530.1-1728	53.855	53.17	57.55	57.463	57.463	61.346	59.98	59.98	58.957	59.182	59.281	57.964	60.323	60.438	60.035	60.035	59.646	59.646	60.208	60.265	85.575	86.034	86.435	86.435	86.377	82.241	82.241	82.184	82.011	83.276	83.276	83.046	82.874	82.931	82.701	86.786	82.644	96.285	95.529		95.718	96.644	96.586	96.586	96.354	85.057	85.029	86.222	86.482	86.482	86.482	86.366	89.37	88.504	88.504	86.886	82.484	82.313	82.313	82.37	82.37	82.255	82.656	81.808	81.751	81.522	81.751	81.15	81.236	81.236	83.097	89.259	89.024	89.228	89.228	89.228	89.228	90.143	82.067	82.753	82.81	82.81	82.867	82.953	82.696	82.81	79.447	78.588	81.29	80.938	83.226	83.284	83.284	82.521	82.464
ATAN-1G80130.1-1734	54.297	53.5	57.377	57.291	57.291	60.915	59.78	59.78	58.851	58.782	58.982	57.731	60.323	60.438	60.035	60.035	59.67	59.67	60.208	60.265	84.822	86.942	87.348	87.348	87.291	81.901	81.901	81.844	81.672	82.131	82.131	81.901	81.901	81.901	81.501	85.888	81.501	98.369	97.859	95.718		99.074	98.785	98.785	98.553	85.223	85.195	85.348	85.607	85.607	85.607	85.723	91.422	88.371	88.371	86.759	80.89	80.776	80.776	80.833	80.833	80.491	80.89	81.186	81.357	81.813	82.041	81.784	81.87	81.87	82.783	88.889	88.618	88.821	88.821	88.821	88.821	88.616	83.495	84.178	84.348	84.348	84.405	84.377	84.121	84.234	79.39	78.473	81.114	80.821	83.754	83.695	83.695	83.552	83.609
ATLER-1G75870.1-1728	54.255	53.455	57.377	57.291	57.291	60.915	59.78	59.78	58.851	58.782	58.982	57.731	60.208	60.323	59.919	59.919	59.532	59.532	60.092	60.15	85.172	87.299	87.71	87.71	87.652	82.241	82.241	82.184	82.011	82.471	82.471	82.241	82.184	82.241	81.839	85.888	81.839	99.622	98.866	96.644	99.074		99.711	99.711	99.479	85.632	85.603	85.875	86.135	86.135	86.135	86.135	91.854	88.908	88.908	87.291	80.996	80.882	80.882	80.939	80.939	80.71	81.11	81.293	81.465	81.922	82.151	81.894	81.979	81.979	82.783	88.889	88.618	88.821	88.821	88.821	88.821	88.711	83.438	84.123	84.18	84.18	84.238	84.323	84.066	84.18	79.447	78.531	81.173	80.762	83.695	83.754	83.754	83.668	83.725
ATERI-1G74040.1-1728	54.255	53.455	57.377	57.291	57.291	61.001	59.78	59.78	58.957	58.882	59.082	57.809	60.381	60.496	60.092	60.092	59.703	59.703	60.265	60.323	85.345	87.471	87.884	87.884	87.826	82.184	82.184	82.126	81.954	82.414	82.414	82.184	82.126	82.184	81.782	85.824	81.782	99.937	99.181	96.586	98.785	99.711		100	99.769	85.805	85.776	85.817	86.077	86.077	86.077	86.077	92.028	88.735	88.735	87.464	80.824	80.71	80.71	80.767	80.767	80.538	80.939	81.579	81.636	82.094	82.323	82.065	82.151	82.151	82.94	89.074	88.821	89.024	89.024	89.024	89.024	88.997	83.609	84.295	84.352	84.352	84.409	84.495	84.238	84.352	79.562	78.645	81.114	80.704	83.519	83.578	83.578	83.496	83.553
ATKYO-1G75190.1-1728	54.255	53.455	57.377	57.291	57.291	61.001	59.78	59.78	58.957	58.882	59.082	57.809	60.381	60.496	60.092	60.092	59.703	59.703	60.265	60.323	85.345	87.471	87.884	87.884	87.826	82.184	82.184	82.126	81.954	82.414	82.414	82.184	82.126	82.184	81.782	85.824	81.782	99.937	99.181	96.586	98.785	99.711	100		99.769	85.805	85.776	85.817	86.077	86.077	86.077	86.077	92.028	88.735	88.735	87.464	80.824	80.71	80.71	80.767	80.767	80.538	80.939	81.579	81.636	82.094	82.323	82.065	82.151	82.151	82.94	89.074	88.821	89.024	89.024	89.024	89.024	88.997	83.609	84.295	84.352	84.352	84.409	84.495	84.238	84.352	79.562	78.645	81.114	80.704	83.519	83.578	83.578	83.496	83.553
ATSHA-1G76760.1-1728	54.198	53.398	57.291	57.204	57.204	60.915	59.681	59.681	58.851	58.782	58.982	57.731	60.265	60.381	59.977	59.977	59.589	59.589	60.15	60.208	85.345	87.241	87.652	87.652	87.594	81.954	81.954	81.897	81.724	82.184	82.184	81.954	81.897	81.954	81.552	85.568	81.552	99.685	98.929	96.354	98.553	99.479	99.769	99.769		85.805	85.776	85.702	85.962	85.962	85.962	85.962	91.912	88.619	88.619	87.348	80.824	80.71	80.71	80.767	80.767	80.538	80.939	81.579	81.522	81.979	82.208	81.951	82.037	82.037	82.94	89.074	88.821	89.024	89.024	89.024	89.024	88.768	83.609	84.295	84.466	84.466	84.523	84.495	84.238	84.352	79.39	78.473	80.938	80.528	83.343	83.402	83.402	83.324	83.381
ATCol-1G62910.1-2194	53.1	51.44	58.067	57.981	57.981	61.26	60.778	60.778	60.063	60.08	60.18	55.899	60.554	60.669	60.208	60.208	54.026	54.545	60.265	60.323	89.744	78.859	88.391	88.391	88.333	85.034	85.034	85.034	84.877	84.511	84.511	84.354	78.197	78.013	84.72	86.764	84.219	81.007	85.813	85.057	85.223	85.632	85.805	85.805	85.805		99.974	85.501	77.812	85.722	85.774	85.774	90.656	89.344	89.344	90.656	87.134	87.029	87.029	87.082	87.082	78.877	81.763	84.211	85.357	85.305	85.149	79.412	85.722	79.708	84.785	88.793	88.58	88.735	88.735	88.735	88.735	83.979	86.952	86.848	86.9	86.9	87.004	77.67	86.848	77.185	80.937	79.618	81.36	81.093	83.128	83.235	83.235	75.138	75.092
ATCT-1G62910.1-1902	53.1	52.686	58.067	57.981	57.981	61.26	60.778	60.778	60.063	60.08	60.18	55.899	60.525	60.64	60.179	60.179	58.003	58.003	60.236	60.294	89.9	88.064	88.501	88.501	88.444	85.126	85.126	85.126	84.969	84.601	84.601	84.444	84.864	84.654	84.811	86.735	84.654	86.087	85.813	85.029	85.195	85.603	85.776	85.776	85.776	99.974		85.519	85.651	85.696	85.748	85.748	90.63	89.318	89.318	90.63	87.108	87.003	87.003	87.055	87.055	87.742	88.003	84.388	85.539	85.486	85.329	85.696	85.905	85.957	84.722	88.721	88.503	88.657	88.657	88.657	88.657	83.953	86.926	86.822	86.874	86.874	86.978	87.22	86.822	87.037	80.911	79.592	81.334	81.066	83.101	83.208	83.208	82.029	81.977
ATCT-1G62670.1-1895	52.48	52.581	57.852	57.765	57.765	61.389	60.13	60.13	59.589	59.731	59.83	55.583	60.121	60.236	59.89	59.89	57.817	57.817	59.89	59.948	83.665	83.438	83.42	83.42	83.247	82.231	82.231	82.231	82.073	82.966	82.966	82.913	82.774	82.826	82.459	85.627	82.407	85.861	85.449	86.222	85.348	85.875	85.817	85.817	85.702	85.501	85.519		99.551	99.445	98.917	98.917	88.299	91.152	91.152	90.571	80.413	80.309	80.309	80.361	80.361	80.486	80.434	83.708	84.648	85.065	84.491	83.982	84.073	84.23	84.596	89.296	90.046	90.201	90.201	90.201	90.201	85.32	84.682	83.325	83.377	83.377	83.325	83.577	83.272	83.498	81.907	80.787	83.907	83.745	83.262	83.315	83.315	81.668	81.668
ATCol-1G62670.1-2567	52.83	51.738	57.895	57.808	57.808	61.432	60.379	60.379	59.852	59.78	59.88	55.618	60.323	60.438	60.092	60.092	52.154	52.731	60.092	60.15	83.726	73.794	83.602	83.602	83.429	82.399	82.399	82.399	82.242	83.133	83.133	83.08	73.812	73.853	82.627	85.773	82.083	81.577	85.732	86.482	85.607	86.135	86.077	86.077	85.962	77.812	85.651	99.551		99.736	99.208	99.208	88.537	91.389	91.389	90.808	80.649	80.544	80.544	80.596	80.596	68.755	73.746	83.758	84.695	85.112	84.539	76.707	84.123	76.817	84.912	89.511	90.123	90.278	90.278	90.278	90.278	85.609	84.969	83.559	83.612	83.612	83.559	76.023	83.507	70.44	82.092	80.971	83.933	83.772	83.503	83.557	83.557	69.992	69.952
ATSHA-1G76490.1-1893	52.938	52.923	57.895	57.808	57.808	61.432	60.379	60.379	59.852	59.78	59.88	55.618	60.438	60.554	60.208	60.208	58.059	58.059	60.208	60.265	83.99	83.815	83.834	83.834	83.661	82.606	82.606	82.606	82.449	83.342	83.342	83.29	83.15	83.202	82.835	85.889	82.73	86.125	85.732	86.482	85.607	86.135	86.077	86.077	85.962	85.722	85.696	99.445	99.736		99.26	99.366	88.59	91.548	91.548	90.914	80.701	80.596	80.596	80.649	80.649	80.805	80.753	84.109	85.102	85.468	84.893	84.449	84.527	84.684	84.912	89.511	90.123	90.278	90.278	90.278	90.278	85.609	84.969	83.559	83.612	83.612	83.559	83.847	83.507	83.768	82.198	81.076	84.041	83.88	83.611	83.665	83.665	82.042	82.042
ATCVI-1G76280.1-1893	52.722	52.714	57.808	57.722	57.722	61.26	60.379	60.379	59.852	59.78	59.88	55.407	60.438	60.554	60.208	60.208	58.059	58.059	60.208	60.265	84.304	83.973	83.891	83.891	83.718	82.764	82.764	82.764	82.606	83.552	83.552	83.5	83.307	83.412	82.992	86.064	82.94	86	85.607	86.482	85.607	86.135	86.077	86.077	85.962	85.774	85.748	98.917	99.208	99.26		99.472	88.431	91.337	91.337	90.808	80.858	80.753	80.753	80.805	80.805	80.962	81.015	84.266	85.416	85.729	85.154	84.762	84.841	84.893	85.417	90.086	90.741	90.895	90.895	90.895	90.895	85.924	85.177	83.873	83.925	83.925	83.873	84.055	83.716	83.977	82.409	81.286	84.148	83.987	83.718	83.772	83.772	82.094	82.094
ATLER-1G75600.1-1893	52.83	52.818	57.808	57.722	57.722	61.26	60.379	60.379	59.852	59.78	59.88	55.478	60.554	60.669	60.323	60.323	58.164	58.164	60.323	60.381	84.199	83.973	83.891	83.891	83.718	82.764	82.764	82.764	82.606	83.5	83.5	83.447	83.307	83.36	82.992	86.122	82.992	86.063	85.732	86.366	85.723	86.135	86.077	86.077	85.962	85.774	85.748	98.917	99.208	99.366	99.472		88.59	91.442	91.442	90.914	80.858	80.753	80.753	80.805	80.805	80.962	80.91	84.422	85.52	85.781	85.206	84.867	84.945	84.997	85.29	89.943	90.586	90.741	90.741	90.741	90.741	85.872	85.23	83.925	83.977	83.977	83.925	84.108	83.768	84.029	82.462	81.339	84.31	84.148	83.88	83.933	83.933	82.304	82.304
ATSHA-1G76750.1-1890	52.938	52.505	57.808	57.722	57.722	61.346	60.18	60.18	59.22	59.281	59.481	55.478	60.208	60.323	59.862	59.862	57.903	57.903	60.035	60.092	86.772	88.316	88.78	88.78	88.606	84.158	84.158	84.158	84	84.474	84.474	84.316	84.49	84.437	84.122	87.405	83.622	92.875	92.646	89.37	91.422	91.854	92.028	92.028	91.912	90.656	90.63	88.299	88.537	88.59	88.431	88.59		91.02	91.02	93.925	82.427	82.322	82.322	82.374	82.374	82.584	82.845	84.109	84.37	84.997	84.422	84.684	84.893	84.841	84.659	88.649	88.272	88.426	88.426	88.426	88.426	87.5	85.856	85.282	85.491	85.491	85.543	85.778	85.334	85.595	80.718	79.396	82.268	82.16	84.202	84.148	84.148	83.717	83.717
ATAN-1G79890.1-1893	52.884	52.61	57.808	57.722	57.722	60.915	61.078	61.078	60.643	60.379	60.479	56.11	60.035	60.15	59.746	59.746	57.642	57.642	59.746	59.804	84.514	84.551	84.642	84.642	84.7	82.606	82.606	82.606	82.449	82.606	82.606	82.449	82.1	82.257	81.837	85.015	81.785	89.375	89.001	88.504	88.371	88.908	88.735	88.735	88.619	89.344	89.318	91.152	91.389	91.548	91.337	91.442	91.02		100	95.615	80.335	80.23	80.23	80.282	80.282	80.858	81.119	83.743	85.206	87.141	86.2	85.991	86.147	86.304	83.649	88.506	88.426	88.58	88.58	88.58	88.58	84.349	86.013	86.273	86.117	86.117	86.221	86.195	85.908	86.013	80.507	79.186	82.483	82.321	84.363	84.417	84.417	83.351	83.351
ATKYO-1G74940.1-1893	52.884	52.61	57.808	57.722	57.722	60.915	61.078	61.078	60.643	60.379	60.479	56.11	60.035	60.15	59.746	59.746	57.642	57.642	59.746	59.804	84.514	84.551	84.642	84.642	84.7	82.606	82.606	82.606	82.449	82.606	82.606	82.449	82.1	82.257	81.837	85.015	81.785	89.375	89.001	88.504	88.371	88.908	88.735	88.735	88.619	89.344	89.318	91.152	91.389	91.548	91.337	91.442	91.02	100		95.615	80.335	80.23	80.23	80.282	80.282	80.858	81.119	83.743	85.206	87.141	86.2	85.991	86.147	86.304	83.649	88.506	88.426	88.58	88.58	88.58	88.58	84.349	86.013	86.273	86.117	86.117	86.221	86.195	85.908	86.013	80.507	79.186	82.483	82.321	84.363	84.417	84.417	83.351	83.351
ATERI-1G74030.1-1893	52.345	52.035	57.463	57.377	57.377	60.742	61.277	61.277	60.801	60.579	60.679	55.969	60.496	60.611	60.15	60.15	58.164	58.164	60.323	60.381	85.302	85.864	86.085	86.085	86.028	83.762	83.762	83.762	83.605	83.552	83.552	83.395	83.255	83.255	82.94	86.297	82.94	87.938	87.681	86.886	86.759	87.291	87.464	87.464	87.348	90.656	90.63	90.571	90.808	90.914	90.808	90.914	93.925	95.615	95.615		80.805	80.701	80.701	80.753	80.753	81.119	81.381	86.513	88.866	91.009	89.911	89.65	89.859	89.807	85.29	89.368	89.043	89.198	89.198	89.198	89.198	85.819	87.004	87.109	87.004	87.004	87.109	87.239	86.795	87.056	80.771	79.449	82.859	82.697	84.148	84.202	84.202	83.141	83.089
ATAN-1G80440.1-1890	52.484	52.326	56.946	56.859	56.859	61.001	60.18	60.18	59.958	59.78	59.98	55.688	59.631	59.746	59.4	59.4	57.173	57.173	59.4	59.458	86.715	82.584	82.769	82.769	82.769	83.002	83.002	83.002	82.845	83.473	83.473	83.368	83.682	83.525	83.839	86.531	83.787	81.25	80.709	82.484	80.89	80.996	80.824	80.824	80.824	87.134	87.108	80.413	80.649	80.701	80.858	80.858	82.427	80.335	80.335	80.805		99.841	99.841	99.894	99.894	99.048	98.571	79.55	79.916	79.079	79.393	79.498	79.655	79.707	77.967	82.04	82.253	82.407	82.407	82.407	82.407	82.668	81.204	81.675	81.832	81.832	81.885	81.911	81.78	81.832	77.62	76.688	78.04	77.933	78.843	78.843	78.843	77.871	77.766
ATERI-1G74360.1-1890	52.376	52.222	56.773	56.687	56.687	60.828	59.98	59.98	59.747	59.581	59.78	55.548	59.516	59.631	59.285	59.285	57.068	57.068	59.285	59.343	86.611	82.479	82.654	82.654	82.654	82.897	82.897	82.897	82.741	83.368	83.368	83.264	83.577	83.421	83.734	86.472	83.682	81.126	80.585	82.313	80.776	80.882	80.71	80.71	80.71	87.029	87.003	80.309	80.544	80.596	80.753	80.753	82.322	80.23	80.23	80.701	99.841		100	99.947	99.947	99.101	98.624	79.498	79.864	79.027	79.341	79.446	79.603	79.655	77.967	82.04	82.253	82.407	82.407	82.407	82.407	82.511	81.099	81.571	81.728	81.728	81.78	81.806	81.675	81.728	77.62	76.688	77.986	77.879	78.79	78.79	78.79	77.818	77.714
ATLER-1G76220.1-1890	52.376	52.222	56.773	56.687	56.687	60.828	59.98	59.98	59.747	59.581	59.78	55.548	59.516	59.631	59.285	59.285	57.068	57.068	59.285	59.343	86.611	82.479	82.654	82.654	82.654	82.897	82.897	82.897	82.741	83.368	83.368	83.264	83.577	83.421	83.734	86.472	83.682	81.126	80.585	82.313	80.776	80.882	80.71	80.71	80.71	87.029	87.003	80.309	80.544	80.596	80.753	80.753	82.322	80.23	80.23	80.701	99.841	100		99.947	99.947	99.101	98.624	79.498	79.864	79.027	79.341	79.446	79.603	79.655	77.967	82.04	82.253	82.407	82.407	82.407	82.407	82.511	81.099	81.571	81.728	81.728	81.78	81.806	81.675	81.728	77.62	76.688	77.986	77.879	78.79	78.79	78.79	77.818	77.714
ATKYO-1G75560.1-1890	52.376	52.222	56.773	56.687	56.687	60.828	59.98	59.98	59.747	59.581	59.78	55.548	59.573	59.689	59.343	59.343	57.121	57.121	59.343	59.4	86.663	82.531	82.711	82.711	82.711	82.95	82.95	82.95	82.793	83.421	83.421	83.316	83.63	83.473	83.787	86.472	83.734	81.188	80.647	82.37	80.833	80.939	80.767	80.767	80.767	87.082	87.055	80.361	80.596	80.649	80.805	80.805	82.374	80.282	80.282	80.753	99.894	99.947	99.947		100	99.153	98.677	79.498	79.864	79.027	79.341	79.446	79.603	79.655	77.967	82.04	82.253	82.407	82.407	82.407	82.407	82.563	81.152	81.623	81.78	81.78	81.832	81.859	81.728	81.78	77.567	76.635	77.986	77.879	78.79	78.79	78.79	77.818	77.714
